"","sensitivities","specificities","model"
"1",1,0,"SRNlesionALL"
"2",1,0.00418410041841004,"SRNlesionALL"
"3",0.994535519125683,0.00418410041841004,"SRNlesionALL"
"4",0.994535519125683,0.00836820083682008,"SRNlesionALL"
"5",0.994535519125683,0.0125523012552301,"SRNlesionALL"
"6",0.994535519125683,0.0167364016736402,"SRNlesionALL"
"7",0.989071038251366,0.0167364016736402,"SRNlesionALL"
"8",0.989071038251366,0.0209205020920502,"SRNlesionALL"
"9",0.989071038251366,0.0251046025104603,"SRNlesionALL"
"10",0.989071038251366,0.0292887029288703,"SRNlesionALL"
"11",0.989071038251366,0.0334728033472803,"SRNlesionALL"
"12",0.989071038251366,0.0376569037656904,"SRNlesionALL"
"13",0.989071038251366,0.0418410041841004,"SRNlesionALL"
"14",0.989071038251366,0.0460251046025105,"SRNlesionALL"
"15",0.989071038251366,0.0502092050209205,"SRNlesionALL"
"16",0.989071038251366,0.0543933054393305,"SRNlesionALL"
"17",0.989071038251366,0.0627615062761506,"SRNlesionALL"
"18",0.983606557377049,0.0627615062761506,"SRNlesionALL"
"19",0.983606557377049,0.0669456066945607,"SRNlesionALL"
"20",0.983606557377049,0.0711297071129707,"SRNlesionALL"
"21",0.983606557377049,0.0753138075313808,"SRNlesionALL"
"22",0.983606557377049,0.0794979079497908,"SRNlesionALL"
"23",0.983606557377049,0.0836820083682008,"SRNlesionALL"
"24",0.983606557377049,0.0878661087866109,"SRNlesionALL"
"25",0.983606557377049,0.0920502092050209,"SRNlesionALL"
"26",0.983606557377049,0.096234309623431,"SRNlesionALL"
"27",0.983606557377049,0.100418410041841,"SRNlesionALL"
"28",0.983606557377049,0.104602510460251,"SRNlesionALL"
"29",0.983606557377049,0.108786610878661,"SRNlesionALL"
"30",0.978142076502732,0.108786610878661,"SRNlesionALL"
"31",0.978142076502732,0.112970711297071,"SRNlesionALL"
"32",0.978142076502732,0.117154811715481,"SRNlesionALL"
"33",0.978142076502732,0.121338912133891,"SRNlesionALL"
"34",0.978142076502732,0.125523012552301,"SRNlesionALL"
"35",0.978142076502732,0.129707112970711,"SRNlesionALL"
"36",0.978142076502732,0.133891213389121,"SRNlesionALL"
"37",0.978142076502732,0.138075313807531,"SRNlesionALL"
"38",0.978142076502732,0.142259414225941,"SRNlesionALL"
"39",0.978142076502732,0.146443514644351,"SRNlesionALL"
